#date	#version	#title	#comment
2021/08/21	1.0.0	Rz1	Not perfect yet;Should work in most cases
2021/10/12	1.0.1	Fx1	Fix symlink issue and exit status
2021/11/08	2.0.0	Up1	Make changes for commonz3
2022/08/05	2.0.1	Fx2	Fix Some default values in cfg file
